,x,y,distance,text1,text2
20,0,21,443,absolutely wonderful  silky and sexy and comfortable,i'm upset because for the price of the dress i thought it was embroidered no that is a print on the fabric i think i cried a little when i opened the box it is still ver pretty i would say it is true to size it is a tad bit big on me but i am very tiny but i can still get away with it the color is vibrant the style is unique skirt portion is pretty poofy i keep going back and forth on it mainly because of the price although the quality is definitely there except i wish it were emb
21,0,22,389,absolutely wonderful  silky and sexy and comfortable,"first of all this is not pullover styling there is a side zipper i wouldn't have purchased it if i knew there was a side zipper because i have a large bust and side zippers are next to impossible for me

second of all the tulle feels and looks cheap and the slip has an awkward tight shape underneath

not at all what is looks like or is described as sadly will be returning but i'm sure i will find something to exchange it for"
22,0,23,166,absolutely wonderful  silky and sexy and comfortable,cute little dress fits tts it is a little high waisted good length for my 5'9 height i like the dress i'm just not in love with it i dont think it looks or feels cheap it appears just as pictured
23,0,24,392,absolutely wonderful  silky and sexy and comfortable,i love this shirt because when i first saw it i wasn't sure if it was a shirt or dress since it is seethrough if you wear it like a dress you will need a slip or wear it with leggings i bought a slip wore the tie in the back and rocked it with white wedges you could also wear it as a vest be careful with the buttons i haven't had any fall off yet but i feel like they will overall it's great for any occasion and it's fun to wear
24,0,25,293,absolutely wonderful  silky and sexy and comfortable,"loved the material but i didnt really look at how long the dress was before i purchased both a large and a medium im 5'5"" and there was atleast 5"" of material at my feet the gaps in the front are much wider than they look felt like the dress just fell flat both were returned im usually a large and the med fit better 36d 30 in jeans"
25,0,26,453,absolutely wonderful  silky and sexy and comfortable,i have been waiting for this sweater coat to ship for weeks and i was so excited for it to arrive this coat is not true to size and made me look short and squat the sleeves are very wide (although long) as a light weight fall coat the sleeves don't need to be as wide because you wouldn't be layerng too much underneath the buttons need to be moved at least three inches in for a nicer fit i thought about redoing the buttons myself but the sleeves looked even more out of proportion with a tigh
26,0,27,204,absolutely wonderful  silky and sexy and comfortable,the colors weren't what i expected either the dark blue is much more vibrant and i just couldn't find anything to really go with it fabric is thick and good quality has nice weight and movement to it the skirt just wasn't for me in the end
27,0,28,152,absolutely wonderful  silky and sexy and comfortable,i have several of goodhyouman shirts and i get so many compliments on them especially the one that says forehead kisses are underrated don't hesitate buy this shirt you won't be sorry
28,0,29,393,absolutely wonderful  silky and sexy and comfortable,this sweater is so comfy and classic  it balances a quirky handknit look with a beautiful color and practical fit it is a bit cropped and boxy as part of the style and as others mentioned there are gaps in the knit that make it seethrough in my opinion this makes it perfect for layering i like having a longer camisole showing underneath or wearing it over a little dress it's warm but still thin enough to fit under a jacket or coat
29,0,30,71,absolutely wonderful  silky and sexy and comfortable,beautifully made pants and on trend with the flared crop so much cuter in person love these
30,0,31,298,absolutely wonderful  silky and sexy and comfortable,i never would have given these pants a second look online in person they are much cuter the stripes are brighter and the fit more flattering the crop has a cute flare which is right on trend this brand has always run small for me i am 5'8 about 140lbs and carry some chubbiness in the belly i paired it with a collarless loose navy blazer
31,0,32,68,absolutely wonderful  silky and sexy and comfortable,these pants are even better in person the only downside is that they need to be dry cleaned
32,0,33,383,absolutely wonderful  silky and sexy and comfortable,i ordered this 3 months ago and it finally came off back order a huge disappointment the fit wasn&#39;t so much the issue for me the quality of the wool is subpar someone else mentioned a &quot;felted wool&quot;i guess is that what you call it?  it does literally feel like felt super thin itchy doesn&#39;t drape very well and feels cheap (made in china) i got it on sale but still not worth what i paid definitely going back
33,0,34,222,absolutely wonderful  silky and sexy and comfortable,this is such a neat dress the color is great and the fabric is super soft i am tall so the long length was an added bonus it definitely needs something underneath since the front gaps i am going to pair it with a funky tank top necklaces and boots super cute
34,0,35,66,absolutely wonderful  silky and sexy and comfortable,wouldn't have given them a second look but tried them on in store of a whim love love
35,0,36,122,absolutely wonderful  silky and sexy and comfortable,this is a comfortable skirt that can span seasons easily while not the most exciting design it is a good work skirt that can be paired with many tops
36,0,37,341,absolutely wonderful  silky and sexy and comfortable,"just ordered this in a small for me (5'6"" 135 size 4) and medium for my mom (5'3"" 130 size 8) and it is gorgeous  beautifully draped all the weight/warmth i'll need for houston fall and winter looks polished snapped or unsnapped ageappropriate for both my mom (60's) and myself (30's) will look amazing with skinny jeans or leggings we ordered the gray which is true to the photos"
37,0,38,66,absolutely wonderful  silky and sexy and comfortable,super cute and comfy pull over sizing is accurate material has a little bit of stretch
38,0,39,105,absolutely wonderful  silky and sexy and comfortable,great casual top with flare looks cute with grey pilcro stet jeans flattering with peplum in back nice cut for shoulders and neckline
39,0,40,111,absolutely wonderful  silky and sexy and comfortable,pretty and unique great with jeans or i have worn it to work with slacks and heels the colors print and embroidery are lovely reasonably priced
40,0,41,195,absolutely wonderful  silky and sexy and comfortable,this is a beautiful top it's unique and not so ordinary i bought my usual medium and i found that it fits tight across my chest although i had a baby this year and i am nursing so that could be why if i bought again i would size up
41,0,42,197,absolutely wonderful  silky and sexy and comfortable,this poncho is so cute i love the plaid check design the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels i love this look for fall and it can roll right into spring great buy
42,0,43,436,absolutely wonderful  silky and sexy and comfortable,"first this is thermal so naturally i didn't expect super sheer but it is really sheer light fabric i like it but be prepared for considering who you might run into if you walk around the house in it second it is large i ordered the size 0 and it's a nice oversized fit for my 5'3"" 125 pounds i wouldn't want to go larger along with being sheer the fabric is easily stretched which i don't mind in this case finally the color it looks white on my monitor and shows a colorful blue dot"
43,0,44,346,absolutely wonderful  silky and sexy and comfortable,"tried this on today at my local retailer and had to have it it is so comfortable and flattering it's too bad the picture online has the model tucking it into the skirt because you can't see the ruching across the front a little dressier alternative to a plain tee and reasonably priced for retailer 5'8"""" and i generally wear a 6 the small fit well will probably be back for the black"
44,0,45,178,absolutely wonderful  silky and sexy and comfortable,i bought this item from online the fit on the model looked a little loose but when i got mine it seemed a bit tight so i took it back to the store & ordered a larger size for the sale price this is a great top
45,0,46,141,absolutely wonderful  silky and sexy and comfortable,i love this top i wear it all the time  the problem is that you can tell i wear it all the time as the fabric has started to fade  i'd still recommend it as it is so comfortable
46,0,47,50,absolutely wonderful  silky and sexy and comfortable,very comfortable material is good cut out on sleeves flattering
47,0,48,59,absolutely wonderful  silky and sexy and comfortable,this sweater is perfect for fallit's roomy warm super comfy and the color really pops
48,0,49,226,absolutely wonderful  silky and sexy and comfortable,really cute top the embroidery on the collar & bib of this top is beautiful and unique received lots of compliments & questions about where i got it i'm rather busty up top and the medium fit well a small probably would've fit better but it's still super adorable
49,0,50,305,absolutely wonderful  silky and sexy and comfortable,this is a cute top that can transition easily from summer to fall it fits well nice print and it's comfortable i tried this on in the store but did not purchase it because the color washed me out this is not the best color for a blonde would look much better on a brunette if this was in a different color i most likely would have purchased it
50,0,51,147,absolutely wonderful  silky and sexy and comfortable,"i absolutely love this bib tee it's probably my favorite retailer purchase of all time i'm 5'7"" 140 pounds and the small was a perfect fit for me i typically wear either a s or m tops"
51,0,52,42,absolutely wonderful  silky and sexy and comfortable,love the color and style but material snags easily
52,0,53,446,absolutely wonderful  silky and sexy and comfortable,very soft and comfortable the shirt has an unusual asymmetrical seam that appears along the front righthand side of the garment (the model is positioned so that you can't see this detail from the picture i attached a picture that includes the front seam) i actually like the seam  it creates more visual interest and adds a little bit of ruching that helps hide my belly the cowl neck is very well done  there are two layers that form the cowl and i've found that it means wardrobe malfun
53,0,54,398,absolutely wonderful  silky and sexy and comfortable,nice top armholes are a bit oversized but as an older woman i'm picky about that the print is pretty and unusual it just didn't look great on me there's a slight peplum in the back that hangs nicely it's a lightweight tee fabric that's opaque i tried it on with a black bra which was barely visible great for warmer climates but there are so many gorgeous tops out now that i decided to return since summer is winding down i do recommend
54,0,55,167,absolutely wonderful  silky and sexy and comfortable,this is an adorable top that i find to be extremely comfortable i don't usually buy prints but this one is so feminine and looks great with dark wash jeans i am a 36d and the medium was a perfect fit
55,0,56,373,absolutely wonderful  silky and sexy and comfortable,i am pregnant and i thought this would be a great sleep bra it's soft and fits okay but it has zero support or shape i would only buy if you are a b cup or smaller and can get away without support if i would have seen this is the store i would have passed over it however i was too lazy to return so i am wearing it it's comfortable so that's a redeeming quality i would not recommend for larger chested ladies though
56,0,57,102,absolutely wonderful  silky and sexy and comfortable,this tank fit well and i loved the ruffle in the back and how it layed but the front was not a good look and i will be retuning it
57,0,58,448,absolutely wonderful  silky and sexy and comfortable,i got this in the petite length size o and it fit just right i like that i didn't have to have it altered in the length; can wear with flats with plenty of clearance to the floor from the bottom hem my only beef with the design is the height of the waist i personally think that the elastic waistband looks cheap and really needs to be concealed with a belt yet because it sits so high literally right under the bustline it's a tricky one to pull off i have a wide belt that sort of does th
58,0,59,240,absolutely wonderful  silky and sexy and comfortable,i've been looking for bralettes that provide some support but not binding/tight for night time and casual wear this is a light weight bra could be a little more supportive pretty color with nice lines only downside is the retailer tag on the back  itchy (i need to remove it)
59,0,60,245,absolutely wonderful  silky and sexy and comfortable,this dress is simply beautiful and stunning it is so figure flattering and i can't wait to wear it size small worked for me and since i'm tall it fell right to my ankle which is perfect for me i could not be happier with the purchase and the keyhole in the back is a beautiful detail
60,0,61,429,absolutely wonderful  silky and sexy and comfortable,3 tags sewn in 2 small (about 1'' long) and 1 huge (about 2'' x 3'') very itchy so i cut them out then the thread left behind was plasticy and even more itchy how can you make an intimates item with such itchy tags? not comfortable at all also  i love bralettes and wear them all the time including to work i am a b cup however this one is so thin and flimsy that it gives no support even to a b cup  so for me this would only be a lounging bralette  if it wasn't so itchy
61,0,62,164,absolutely wonderful  silky and sexy and comfortable,i recently got this on sale after looking at it forever on my wish list i'm so happy with it its very comfortable and just long enough for my torso (5'3) the pattern on the front is very flattering
62,0,63,115,absolutely wonderful  silky and sexy and comfortable,very comfortable shirt light weight top with lovely floral colors great for spring/summer with white jeans love everything one september makes
63,0,64,40,absolutely wonderful  silky and sexy and comfortable,loved this top and was really happy to find it on sale
64,0,65,208,absolutely wonderful  silky and sexy and comfortable,beautiful top but delicate i wore it to school and the straps on my backpack caused some pilling other than that it is beautiful and vibrant just make sure you aren't doing/wearing anything that will rub it continuously since the fabric is delicate
65,0,66,449,absolutely wonderful  silky and sexy and comfortable,just received this in the mail tried it on and am smitten i'm usually a l but sometimes i'm a xl (if no stretch) in retailer tops i bought this one in l and i'm sure glad i did very flowy stretchy and comfortable i also bought the meda lace top from one september and they are very similar expect this is more of a tshirt and the other is more of a blouse i almost think i could've gotten a m in this because there is a lot of extra fabric at the chest which is usually never the issue for me
66,0,67,412,absolutely wonderful  silky and sexy and comfortable,love this top i kept eyeing it online and wavering on size since my postbaby body is a little wonky i went with the xsp and miraculously it works perfectly so i would say it does run just a little large i love the length and usually do not go with petite sizes at retailer because i like the longer lengths of the regular but this is perfect on me and there is give up top so it looks lovely and it is very soft and comfortable this will be a goto top this season
67,0,68,300,absolutely wonderful  silky and sexy and comfortable,i really loved this top online and wanted to love it in person it is soft and the patter is okay in person the neckline is higher than i am used to also there are two buttons in the back that must be unbuttoned in order to wear the top it is difficult to button them behind your neck with the top on unfortunately i had to return this item
68,0,69,221,absolutely wonderful  silky and sexy and comfortable,i really wanted this to work alas it had a strange fit for me the straps would not stay up and it had a weird fit under the breast it worked standing up but the minute i sat down it fell off my shoulders the fabric was beautiful and i loved that it had pockets
69,0,70,419,absolutely wonderful  silky and sexy and comfortable,"this top is so cute but it is massively babydoll shaped (a line) which is not apparent from the pictures i measured the xs i have and the chest is about 42"" and sweep is over 70"" i would definitely keep this top if it hung straighter the craftsmanship is lovely and fabric is so natural and handwoven looking i'm thinking about asking my tailor if she can take the sides in but that might ruin it as the fabric layout is cut and proportioned to this swing style"
70,0,71,447,absolutely wonderful  silky and sexy and comfortable,why do designers keep making crop tops?? i can't imagine this would be flattering on anyone especially someone average height and well endowed on top i looked like a football player the pattern and fabric are gorgeous so if you are like 4' tall and super tiny and can fit xxs this may work? i am between a 68 and fit a small and it was huge on me and almost was bigger at the bottom than the top such a weird cut there is a cami underneath so if it rides up that will show but that is so 80s
71,0,72,448,absolutely wonderful  silky and sexy and comfortable,"i have a short torso and this works well for me 34c bought the 0 there's not much stretch to the fabric so it is fitted to my chest but not in an uncomfortable way definitely doesn't hang and have extra fabric like on the model 

zipper goes almost all the way down to the bottom so it's easier to get on and off which makes up for the lack of stretch n the fabric

unlike another reviewer i found it went really well with navy pants and i wore it to a business meeting under a blazer wi"
72,0,73,201,absolutely wonderful  silky and sexy and comfortable,i love this top it is loose and comfortable it is not sheer so you don't need a cami it runs a little large so size down if you want a more tailored fit 1 criticism it catches on sharp jewelry or belts and can pull if you are not careful
73,0,74,445,absolutely wonderful  silky and sexy and comfortable,i passed up this dress so many times in the store and finally tried it on today because i wanted a casual dress while traveling in the cape i was surprised how much cuter it is on than on hanger i sized down to get a more fitting look and really made a difference for me in style i was not a fan of the way it looked so loose on model it looks really cute fitted and a bit sexy even it is lined and very comfy and can be dressed up a but for work with a cardi i believe i will get a lot of wear
74,0,75,447,absolutely wonderful  silky and sexy and comfortable,"i am so drawn to baby doll and boxy shirts so i immediately tried this on in the store i am petite and only 5'2"" so usually shirts with a lot of fabric swallow me whole but this one was still cute there is a lot more fabric than the picture lets on but i think it is still super cute and flattering i would definitely check the size chart and read comments to see if someone with your same size description has recommended a specific size for your body type i am petite and weigh about 110 lbs"
75,0,76,239,absolutely wonderful  silky and sexy and comfortable,i would have loved this dress if the bust and waist were just a little more fitted i am 32c and the top was too big fit perfectly on hips the lace material means it cannot be easily altered so i chose to return the dress i would have definitely kept it if it were a better fit
76,0,77,182,absolutely wonderful  silky and sexy and comfortable,the zipper broke on this piece the first time i wore it very disappointing since i love the design i'm actually going to try to replace the zipper myself with something stronger but annoying that it's come to that
77,0,78,214,absolutely wonderful  silky and sexy and comfortable,i usually size up with this brand small was perfect for me at 135lbs this top has a luxurious but casual feel and beautiful i am obsessed and want to wear it everyday it wears a little long and drapey but a little tight where it rolls up in the arms
78,0,79,405,absolutely wonderful  silky and sexy and comfortable,this dress is adorable  it's a perfect casual look for summer and the quality is nice with the lining (though still overpriced in my opinion) the tie detail is somewhat adjustable and i found my normal size s to fit fine (5'7 128#) where this gets me is the fact that it's dry cleantotally doesn't make sense for a dress that is essentially a fancy tshirt for summer i might bring it back for that alone since i originally planned to wear it a lot :(
79,0,80,448,absolutely wonderful  silky and sexy and comfortable,"i am usually a petite 6 but since this dress did not come in petites i tried on 4 and it fit i'm 5'1"" 112lbs so dress hit rt below knee will have it hemmed up a bit do not so overwhelming

this dress looks stunning on great vibrant color ( i have dark hair) makes this classic elegant dress look contemporary and stylish when i tried it on in store salesperson and others who happen to see it on me raved and told me to grab it i did and am glad

i plan to wear it this spring for my daughte"
80,0,81,49,absolutely wonderful  silky and sexy and comfortable,loved this top great design comfortable and unique soft material
81,0,82,447,absolutely wonderful  silky and sexy and comfortable,the rest of the reviewers are right about the color being in accurately pictured i ordered the dark orange color and i recieved more of a dark cedar brown colored jacket the print is great i love it it's so different than any other jackets ive seen while the jacket is ã¼ber cute it is a bit bulky (though the waist tie helps with that) and its not heavy winter appropriate ( it's not waterproof or heavily insulated) for your average winter day though it will be a fun option the removable v
82,0,83,446,absolutely wonderful  silky and sexy and comfortable,i purchased this top in an antro store last week the quality is wonderful and the greenish blue color is very unique the blouse has a beautiful stretchy camsiole that is attached at the shoulders but can be removed by snaps i tooks great when worn two different ways i wore it with the campole out and it peeks through the blouse at the bottom it also looks great when the camisole is worn in my only wish is that it would come in a petite size as it's a touch big at the shoulders and neckli
83,0,84,449,absolutely wonderful  silky and sexy and comfortable,i received this shirt in my typical xs and it fits perfectly i?m not crazy in love with it but i also don?t dislike the shirt is on the thin side do i need to wear a cami underneath it no my concern is holes it does remind me of a material that could develop some holes after some wear and washes with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing the length is fine and i do like the slits in front?it adds a little dim
84,0,85,446,absolutely wonderful  silky and sexy and comfortable,"i was really hoping to like this but it did not look the way it does on the model at least not on me the sharkbite hem is much more pronounced and looser the one in the photo looks like it was pinned back i am 5'8"" and usually wear a medium or large i got a medium and there was a lot more material on the bottom half than the photo shows it made me look bigger and was not flattering material has a nice weave but it's thin and delicate i bought the (holly) deep olive and the blue colors"
85,0,86,332,absolutely wonderful  silky and sexy and comfortable,"i tried this on from the sale section and they only had a 2 (i usually do 0) and surprisingly that size was the right fit it is fitted with just enough room to eat :) 
te blue is a light blue almost neutral with the white embroidery i think it looked stylish and decided to keep it the peplum part hit just in the right spot i am short (petite) but my torso is normal size"
86,0,87,435,absolutely wonderful  silky and sexy and comfortable,"i debated n that as i think it looks loose on the model but if i was to tighten it it looks a lot more flattering i tried on the xs in the store (i usually do that to decide if i need petite) and it looked huge when we pinched the back to see if xxs would work it was a lot of fabric and looser didn't look as good on me but i like the dress overall so still recommend and for those who like the looser look this is great i would however order eptite for 5'15"" (115 lbs 03 dd che"
87,0,88,95,absolutely wonderful  silky and sexy and comfortable,really cute piece but it's huge i ordered an xxs petite and it was unfortunately extremely wide and not flattering returning
88,0,89,337,absolutely wonderful  silky and sexy and comfortable,i bought this top online in the burnt orange color and was so excited to get it when i tried it on the fit was fine but it just lackedsomething the back was a little bit too long the front was a little bit too short and it lacked the overall tailored look that i was after gorgeous fabric and top but not for me i wanted something more for $150 bought the velvet tunic instead ;)
89,0,90,342,absolutely wonderful  silky and sexy and comfortable,i love cute summer dresses and this one especially because it is made out of linen is unique it is very wellmade with a design that is quite flattering i am 5 foot 6 and a little curvy with a 38 c bust and i got a size 10 it fits well although it is difficult to zip up because the material has no give the perfect dress to wear to italy or france now i just have to book my tickets
90,0,91,352,absolutely wonderful  silky and sexy and comfortable,this top is so much prettier in real life than it is on the model the pattern and texture are both lovely and the peplum is surprisingly flattering it is definitely on the short side but i think that gives it a modern look the fabric does not stretch at all but i still think it fits tts if you have a very large chest you may want to go up a size but otherwise i would order your normal size
91,0,92,443,absolutely wonderful  silky and sexy and comfortable,this shirt caught my eye because of how beautiful it was i love the shape design and and the color it's perfect for spring and summer with some white pants unfortunately i don't see any possibilities for this shirt to be worn any other way so far it doesn't work with any of my jeans skirts or shorts i usually prefer items with more versatility for outfits so i'm still on the fence if i'm going to keep it or not with that aside it seriously is a great quality shirt with a beautiful
92,0,93,427,absolutely wonderful  silky and sexy and comfortable,"purchased this top online and when i received it was very pleased
it has and elegant cut and yet is a casual fabric
love that the sleeves run longerads to the overall look
also loved the v necklineenhances the feel of the overall style
with various necklaces this top has limitless options
the color states mosswhich i usually think of as greenish browni found it to be more of a taupe
would have liked it to have a green tones however it is still a fantastic f"
93,0,94,195,absolutely wonderful  silky and sexy and comfortable,"i usually wear a medium and bought a small it fit ok but had no shape and was not flattering i love baby doll dresses and tops but this was a tent my daughter saw me try it on and said ""that's a piece of tablecloth"" it's going back"
94,0,95,123,absolutely wonderful  silky and sexy and comfortable,i was very excited to order this top in red xs so cute but it was huge shapeless and support thin it had to go back i should've looked at other reviews
95,0,96,423,absolutely wonderful  silky and sexy and comfortable,i am in need of easy comfortable tops for everyday wear i bought this top mostly because of the cute buttons when i received it it looked exactly as it does in the picture online however the buttons kept slipping out of their homes because the holes were slightly too big the shirt fit but was just a tad snug near the upper arms which would stretch and loosen up throughout the day it's definitely a comfortable shirt but it felt more like a pajama top it's going back
96,0,97,199,absolutely wonderful  silky and sexy and comfortable,at first i wasn't sure about it the neckline is much lower and wavy than i thought but after wearing it it really is comfortable it stretches a lot so i wear a cami underneath so when i lean forward i'm not showing the world my torso
97,0,98,377,absolutely wonderful  silky and sexy and comfortable,i find that this brand can be a little bit allovertheplace with sizes had i tried this on in person i may have bought it in a small instead of a m despite being a bit big it still looks great and hides my flaws well i bought a m in another shirt from them (the seamed scoop neck) and that shirt was a full 2 inches smaller in the bust than this just something to keep in mind still a great shirt love the neutral color
98,0,99,204,absolutely wonderful  silky and sexy and comfortable,this top is absolutely stunning i purchased the white one just received and it fits nicelya little on the big side but i believe it looks better that way this will look great with everything it is well constructed and looks very unique love it
99,1,2,345,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite",i had such high hopes for this dress and really wanted it to work for me i initially ordered the petite small (my usual size) but i found this to be outrageously small so small in fact that i could not zip it up i reordered it in petite medium which was just ok overall the top half was comfortable and fit nicely but the bottom half had a very tight under layer and several somewhat cheap (net) over layers imo a major design flaw was the net over layer sewn directly into the zipper  it c
100,1,3,229,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite",i love love love this jumpsuit it's fun flirty and fabulous every time i wear it i get nothing but great compliments
101,1,4,205,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite",this shirt is very flattering to all due to the adjustable front tie it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan love this shirt
102,1,5,332,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite",i love tracy reese dresses but this one is not for the very petite i am just under 5 feet tall and usually wear a 0p in this brand this dress was very pretty out of the package but its a lot of dress the skirt is long and very full so it overwhelmed my small frame not a stranger to alterations shortening and narrowing the skirt would take away from the embellishment of the garment i love the color and the idea of the style but it just did not work on me i returned this dress
103,1,6,343,"love this dress  it's sooo pretty  i happened to find it in a store and i'm glad i did bc i never would have ordered it online bc it's petite  i bought a petite and am 5'8""  i love the length on me hits just a little below the knee  would definitely be a true midi on someone who is truly petite",i aded this in my basket at hte last mintue to see what it would look like in person (store pick up) i went with teh darkler color only because i am so pale :) hte color is really gorgeous and turns out it mathced everythiing i was trying on with it prefectly it is a little baggy on me and hte xs is hte msallet size (bummer no petite) i decided to jkeep it though because as i said it matvehd everything my ejans pants and the 3 skirts i waas trying on (of which i ]kept all ) oops
